kernel|cuda_intrinsics|hip_intrinsics
2DCONV|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ctaid.y,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.ntid.y,@llvm.nvvm.read.ptx.sreg.tid.x,@llvm.nvvm.read.ptx.sreg.tid.y|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
2MM|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ctaid.y,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.ntid.y,@llvm.nvvm.read.ptx.sreg.tid.x,@llvm.nvvm.read.ptx.sreg.tid.y|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
3DCONV|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ctaid.y,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.ntid.y,@llvm.nvvm.read.ptx.sreg.tid.x,@llvm.nvvm.read.ptx.sreg.tid.y|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
3MM|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ctaid.y,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.ntid.y,@llvm.nvvm.read.ptx.sreg.tid.x,@llvm.nvvm.read.ptx.sreg.tid.y|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
ADI|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.tid.x|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
ATAX|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.tid.x|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
BICG|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.tid.x|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
CORR|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ctaid.y,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.ntid.y,@llvm.nvvm.read.ptx.sreg.tid.x,@llvm.nvvm.read.ptx.sreg.tid.y,@llvm.nvvm.sqrt.approx.f,@llvm.nvvm.sqrt.approx.ftz.f,@llvm.nvvm.sqrt.rn.f,@llvm.nvvm.sqrt.rn.ftz.f|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
COVAR|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ctaid.y,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.ntid.y,@llvm.nvvm.read.ptx.sreg.tid.x,@llvm.nvvm.read.ptx.sreg.tid.y|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
DOITGEN|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ctaid.y,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.ntid.y,@llvm.nvvm.read.ptx.sreg.tid.x,@llvm.nvvm.read.ptx.sreg.tid.y|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
